PassengerId,Survived
892,0.0
893,0.155
894,0.185
895,1.0
896,0.655
897,0.095
898,0.015
899,0.055
900,0.775
901,0.075
902,0.0
903,0.245
904,0.975
905,0.06
906,0.985
907,0.985
908,0.0716666666667
909,0.96
910,0.32
911,0.46
912,0.24
913,0.41
914,0.985
915,0.75
916,0.925
917,0.025
918,1.0
919,0.78
920,0.645
921,0.0
922,0.02
923,0.055
924,0.76
925,0.41
926,0.605
927,0.9
928,0.0
929,0.14
930,0.05
931,0.5
932,0.1025
933,0.666666666667
934,0.08
935,1.0
936,0.985
937,0.05
938,0.4025
939,0.1
940,0.895
941,0.59
942,0.485
943,0.02
944,0.955
945,0.925
946,0.01
947,0.03
948,0.0
949,0.0
950,0.0
951,1.0
952,0.075
953,0.321666666667
954,0.0
955,0.95
956,0.25
957,0.87
958,0.84
959,0.0
960,0.46
961,0.81
962,0.94
963,0.0
964,0.255
965,0.0
966,0.995
967,0.195
968,0.0
969,0.985
970,0.0
971,0.94
972,0.635
973,0.17
974,0.67
975,0.0
976,0.245
977,0.085
978,1.0
979,0.11
980,0.875
981,0.985
982,0.615
983,0.5
984,0.82
985,0.0
986,0.68
987,0.095
988,0.97
989,0.165
990,0.47
991,0.29
992,1.0
993,0.165
994,0.1
995,0.0
996,0.375
997,0.0
998,0.001
999,0.1
1000,0.0
1001,0.0
1002,0.025
1003,0.973125
1004,0.91
1005,0.405
1006,0.98
1007,0.4
1008,0.005
1009,1.0
1010,0.395
1011,1.0
1012,0.8975
1013,0.0
1014,1.0
1015,0.0
1016,0.1
1017,0.33
1018,0.0
1019,1.0
1020,0.5
1021,0.0
1022,1.0
1023,0.11
1024,0.11
1025,0.17
1026,0.275
1027,0.0
1028,0.03
1029,0.0
1030,0.005
1031,0.085
1032,0.045
1033,1.0
1034,0.18
1035,0.01
1036,0.86
1037,0.045
1038,0.0
1039,0.0
1040,0.666666666667
1041,0.045
1042,1.0
1043,0.0
1044,0.02
1045,0.49
1046,0.015
1047,0.0
1048,0.97
1049,0.38
1050,0.86
1051,0.455
1052,1.0
1053,0.59
1054,0.77
1055,0.245
1056,0.3575
1057,0.565
1058,0.4
1059,0.015
1060,0.995
1061,0.11
1062,0.0
1063,0.035
1064,0.1975
1065,0.166666666667
1066,0.035
1067,0.96
1068,0.9725
1069,0.435
1070,0.935
1071,0.965
1072,0.0
1073,0.485
1074,0.995
1075,0.1
1076,0.97
1077,0.07
1078,0.555
1079,0.085
1080,0.03
1081,0.1775
1082,0.0
1083,0.0
1084,0.64
1085,0.04
1086,0.895
1087,0.295
1088,0.81
1089,0.0
1090,0.0
1091,0.0
1092,0.49
1093,0.915
1094,0.355
1095,0.965
1096,0.0
1097,0.235
1098,0.0
1099,0.0
1100,1.0
1101,0.0
1102,0.0666666666667
1103,0.0
1104,0.0
1105,0.85
1106,0.555
1107,0.245
1108,1.0
1109,0.48
1110,0.97
1111,0.0
1112,0.98
1113,0.0
1114,0.9575
1115,1.0
1116,0.435
1117,0.0
1118,0.0
1119,0.875
1120,0.005
1121,0.0
1122,0.1
1123,1.0
1124,0.105
1125,0.005
1126,0.515
1127,0.0
1128,0.31
1129,1.0
1130,1.0
1131,0.97
1132,0.515
1133,0.995
1134,0.21
1135,0.0
1136,0.03
1137,0.02
1138,0.8425
1139,0.02
1140,1.0
1141,0.0
1142,0.94
1143,0.0
1144,0.245
1145,0.01
1146,0.14
1147,0.0
1148,0.1
1149,0.0
1150,0.805
1151,0.0
1152,0.01
1153,0.0
1154,0.645
1155,0.95
1156,0.415
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.25
1163,0.1
1164,0.995
1165,1.0
1166,0.0
1167,1.0
1168,0.0
1169,0.005
1170,0.035
1171,0.125
1172,0.0
1173,0.92
1174,0.875
1175,0.0
1176,0.89
1177,0.0
1178,0.0
1179,0.25
1180,0.166666666667
1181,0.0
1182,0.35
1183,0.095
1184,0.166666666667
1185,0.11
1186,0.0
1187,0.0
1188,0.98
1189,0.0
1190,0.01
1191,0.045
1192,0.48
1193,0.0
1194,0.0125
1195,0.2
1196,0.875
1197,0.955
1198,0.805
1199,0.79
1200,0.26
1201,0.08
1202,0.005
1203,1.0
1204,0.0475
1205,0.0
1206,0.88
1207,0.835
1208,0.09
1209,0.5
1210,0.33
1211,0.06
1212,0.0
1213,0.0266666666667
1214,0.0
1215,0.758333333333
1216,1.0
1217,0.0
1218,0.96
1219,0.0
1220,0.385
1221,0.005
1222,0.985
1223,0.535
1224,0.0
1225,0.32
1226,0.0
1227,0.13
1228,0.633333333333
1229,0.2175
1230,0.055
1231,0.166666666667
1232,0.225
1233,0.395
1234,0.0725
1235,0.995
1236,0.11
1237,0.375
1238,0.0
1239,0.58
1240,0.0
1241,0.96
1242,0.99
1243,0.0
1244,0.0
1245,0.38
1246,0.63
1247,0.68
1248,0.975
1249,0.0
1250,0.1
1251,0.75
1252,0.025
1253,0.97
1254,0.96
1255,1.0
1256,1.0
1257,0.0925
1258,0.085
1259,0.375
1260,1.0
1261,0.895
1262,0.0
1263,0.995
1264,0.29
1265,0.3575
1266,0.985
1267,0.97
1268,0.42
1269,0.05
1270,0.015
1271,0.29
1272,0.1
1273,0.015
1274,0.695
1275,0.375
1276,0.465
1277,0.955
1278,0.0
1279,0.055
1280,0.009
1281,0.25
1282,0.28
1283,0.995
1284,0.32
1285,0.245
1286,0.095
1287,0.995
1288,0.01
1289,0.99
1290,0.0
1291,0.0
1292,1.0
1293,0.0
1294,1.0
1295,0.17
1296,0.2675
1297,0.465
1298,0.0
1299,0.16
1300,0.905
1301,0.86
1302,0.875
1303,0.99
1304,0.04
1305,0.0
1306,1.0
1307,0.03
1308,0.0
1309,0.615
